Year,Month,Month_Name,Temperature_K,Temperature_C,Pressure_Pa,Specific_Humidity,Relative_Humidity,Temperature_StdDev,Pressure_StdDev,Specific_Humidity_StdDev
2015,1,January,289.39,16.24,96900.35,0.0061,51.55,1.66,1579.72,0.0004
2015,2,February,295.12,21.97,96660.11,0.006,35.18,1.41,1533.81,0.0004
2015,3,March,298.35,25.2,96609.7,0.007,33.94,1.28,1520.31,0.0005
2015,4,April,304.21,31.06,96098.34,0.0072,24.59,1.33,1479.22,0.0006
2015,5,May,308.97,35.82,95767.75,0.007,18.49,1.63,1441.3,0.0012
2015,6,June,305.92,32.77,95474.91,0.0139,43.2,2.3,1439.06,0.0014
2015,7,July,301.44,28.29,95507.86,0.0172,68.51,2.05,1446.04,0.0005
2015,8,August,300.43,27.28,95748.38,0.0178,75.12,2.13,1466.36,0.0005
2015,9,September,300.73,27.58,96019.23,0.0145,60.53,1.94,1473.3,0.0009
2015,10,October,299.84,26.69,96468.62,0.0094,41.92,1.66,1496.16,0.0009
2015,11,November,296.95,23.8,96647.45,0.0081,42.63,1.43,1516.95,0.0008
2015,12,December,291.96,18.81,96851.52,0.0053,38.08,1.47,1557.47,0.0008
2016,1,January,291.83,18.68,96807.07,0.0057,41.35,1.55,1553.75,0.0003
2016,2,February,295.99,22.84,96683.84,0.0056,31.38,1.46,1543.33,0.0008
2016,3,March,301.37,28.22,96432.32,0.0061,24.92,1.3,1501.15,0.0008
2016,4,April,306.64,33.49,95990.12,0.0054,16.04,1.19,1457.86,0.0007
2016,5,May,308.54,35.39,95680.87,0.0087,23.34,1.55,1439.94,0.001
2016,6,June,307.09,33.94,95513.28,0.0141,40.71,1.96,1446.19,0.0007
2016,7,July,300.81,27.66,95479.8,0.0188,77.36,2.03,1457.09,0.0005
2016,8,August,298.95,25.8,95545.24,0.0186,85.43,1.69,1468.46,0.0006
2016,9,September,299.74,26.59,95893.28,0.0176,77.33,1.56,1490.89,0.0008
2016,10,October,297.84,24.69,96274.73,0.0112,55.91,1.7,1494.67,0.0007
2016,11,November,293.89,20.74,96682.88,0.0055,35.13,1.45,1524.48,0.0006
2016,12,December,290.93,17.78,96789.28,0.0052,40.11,1.71,1553.98,0.0003
2017,1,January,290.84,17.69,96833.28,0.0059,45.72,1.53,1567.76,0.0002
2017,2,February,294.84,21.69,96739.14,0.0052,30.98,1.62,1538.13,0.0003
2017,3,March,299.49,26.34,96311.18,0.0046,20.85,1.32,1508.35,0.0003
2017,4,April,305.48,32.33,95977.21,0.0045,14.41,1.23,1460.49,0.0006
2017,5,May,308.46,35.31,95757.47,0.0077,20.69,1.45,1445.99,0.0008
2017,6,June,306.46,33.31,95470.98,0.0141,42.5,2.13,1439.06,0.0015
2017,7,July,300.77,27.62,95442.98,0.0181,74.97,2.12,1448.63,0.0006
2017,8,August,300.5,27.35,95601.14,0.0182,76.45,1.67,1465.52,0.0006
2017,9,September,300.36,27.21,95962.29,0.0167,71.12,1.67,1471.44,0.0007
2017,10,October,299.86,26.71,96210.79,0.0111,49.44,1.65,1491.7,0.0019
2017,11,November,295.39,22.24,96621.43,0.0069,40.1,1.23,1535.39,0.001
2017,12,December,292.59,19.44,96834.76,0.0054,37.37,1.35,1559.01,0.0005
2018,1,January,291.72,18.57,96663.37,0.0047,33.83,1.8,1554.81,0.0004
2018,2,February,296.44,23.29,96665.78,0.0057,31.04,1.41,1530.8,0.0005
2018,3,March,301.9,28.75,96331.34,0.0046,18.01,1.18,1491.97,0.0004
2018,4,April,306.82,33.67,95990.55,0.0055,16.28,1.25,1467.89,0.0006
2018,5,May,310.26,37.11,95672.01,0.0069,16.86,1.43,1451.01,0.0011
2018,6,June,307.16,34.01,95343.41,0.0142,41.05,2.28,1424.14,0.001
2018,7,July,301.44,28.29,95304.78,0.0182,72.42,2.22,1444.62,0.0004
2018,8,August,299.46,26.31,95500.95,0.0184,81.6,1.73,1468.85,0.0007
2018,9,September,298.66,25.51,96035.53,0.0158,74.21,1.32,1479.25,0.0005
2018,10,October,299.42,26.27,96516.75,0.0093,42.39,1.49,1497.34,0.0008
2018,11,November,296.19,23.04,96715.71,0.0069,37.99,1.35,1526.49,0.0007
2018,12,December,290.83,17.68,96859.52,0.0051,39.25,1.39,1571.09,0.0008
2019,1,January,290.63,17.48,96921.02,0.005,38.86,1.38,1567.34,0.0004
2019,2,February,294.64,21.49,96710.82,0.0059,35.73,1.55,1541.8,0.0005
2019,3,March,299.87,26.72,96464.89,0.0055,24.39,1.41,1518.06,0.0006
2019,4,April,306.93,33.78,96073.15,0.0056,16.39,1.17,1470.27,0.0005
2019,5,May,309.32,36.17,95826.62,0.0068,17.37,1.28,1455.37,0.0009
2019,6,June,308.19,35.04,95428.66,0.0126,34.19,1.71,1421.86,0.0012
2019,7,July,302.02,28.87,95319.63,0.0176,67.44,2.09,1418.69,0.0003
2019,8,August,299.39,26.24,95423.21,0.0186,83.16,1.96,1442.67,0.0004
2019,9,September,298.86,25.71,95800.03,0.0186,85.65,1.39,1464.48,0.0003
2019,10,October,297.33,24.18,96435.24,0.0132,67.53,1.3,1485.01,0.0012
2019,11,November,295.89,22.74,96608.73,0.0096,53.74,1.25,1499.95,0.0011
2019,12,December,290.74,17.59,96806.75,0.0069,52.81,1.9,1549.94,0.001
2020,1,January,290.11,16.96,96740.64,0.0067,53.73,1.54,1545.19,0.0005
2020,2,February,293.58,20.43,96735.45,0.0053,34.63,1.49,1525.65,0.0005
2020,3,March,298.52,25.37,96399.57,0.0068,32.2,0.94,1494.53,0.0007
2020,4,April,304.75,31.6,96167.65,0.0059,19.52,1.02,1455.98,0.0003
2020,5,May,307.64,34.49,95764.05,0.0068,19.18,1.16,1427.56,0.0008
2020,6,June,303.85,30.7,95483.73,0.0154,53.49,2.08,1421.45,0.0009
2020,7,July,302.6,29.45,95475.37,0.018,66.97,2.03,1413.24,0.0004
2020,8,August,299.74,26.59,95357.9,0.019,82.74,1.73,1433.03,0.0004
2020,9,September,300.4,27.25,95758.82,0.0175,73.98,1.57,1444.18,0.0008
2020,10,October,299.11,25.96,96081.55,0.0113,52.06,1.38,1476.61,0.0021
2020,11,November,294.63,21.48,96711.23,0.0068,41.1,1.17,1515.34,0.0009
2020,12,December,291.81,18.66,96720.77,0.0058,41.81,1.31,1530.0,0.0006
2021,1,January,292.14,18.99,96591.75,0.0057,40.06,1.88,1535.8,0.0006
2021,2,February,295.12,21.97,96593.99,0.0043,25.15,1.11,1503.93,0.0003
2021,3,March,301.22,28.07,96300.87,0.0046,18.63,0.89,1461.79,0.0003
2021,4,April,305.4,32.25,96079.85,0.0044,14.14,1.04,1447.75,0.0007
2021,5,May,305.92,32.77,95708.48,0.01,30.82,1.19,1438.94,0.0006
2021,6,June,304.17,31.02,95492.74,0.015,51.58,2.54,1409.37,0.0012
2021,7,July,302.29,29.14,95380.62,0.0166,62.85,2.05,1416.44,0.0003
2021,8,August,299.21,26.06,95636.12,0.0178,80.38,1.59,1426.64,0.0005
2021,9,September,298.98,25.83,95687.57,0.0181,82.84,1.28,1462.6,0.0004
2021,10,October,297.98,24.83,96207.01,0.0124,61.04,1.28,1472.51,0.0006
2021,11,November,294.45,21.3,96520.74,0.0071,43.04,1.22,1517.03,0.0009
2021,12,December,290.9,17.75,96836.52,0.0062,47.02,1.38,1549.06,0.0006
2022,1,January,289.59,16.44,96673.44,0.0062,51.52,1.53,1549.21,0.0004
2022,2,February,293.79,20.64,96453.66,0.0048,30.76,1.47,1516.03,0.0003
2022,3,March,301.79,28.64,96224.4,0.0044,17.25,1.07,1470.4,0.0004
2022,4,April,307.34,34.19,95919.26,0.0045,12.85,1.11,1427.69,0.0007
2022,5,May,308.36,35.21,95500.12,0.0082,22.05,1.37,1418.42,0.001
2022,6,June,305.81,32.66,95456.25,0.0129,40.14,1.94,1409.9,0.0011
2022,7,July,301.01,27.86,95421.65,0.018,73.84,2.57,1444.98,0.0006
2022,8,August,299.22,26.07,95499.53,0.018,81.36,1.6,1454.2,0.0003
2022,9,September,299.16,26.01,95803.87,0.0173,78.81,1.4,1452.79,0.0004
2022,10,October,296.9,23.75,96358.48,0.012,63.28,1.31,1485.8,0.0008
2022,11,November,294.06,20.91,96640.72,0.0066,41.44,1.4,1508.45,0.0004
2022,12,December,292.12,18.97,96640.68,0.0058,40.31,1.73,1534.79,0.001
2023,1,January,290.39,17.24,96774.77,0.0055,43.37,1.95,1557.13,0.0005
2023,2,February,295.48,22.33,96638.2,0.0041,23.48,1.2,1502.85,0.0003
2023,3,March,299.41,26.26,96429.86,0.0063,28.72,0.97,1489.05,0.0002
2023,4,April,303.38,30.23,96159.06,0.0068,24.22,1.01,1452.5,0.0007
2023,5,May,306.33,33.18,95936.99,0.0083,25.04,0.99,1442.34,0.0007
2023,6,June,305.67,32.52,95542.09,0.0132,41.26,1.46,1424.0,0.0009
2023,7,July,301.69,28.54,95450.29,0.0187,73.11,1.99,1438.19,0.0004
2023,8,August,299.08,25.93,95724.7,0.0173,78.74,1.71,1432.81,0.0004
2023,9,September,299.52,26.37,95729.87,0.0174,77.49,1.47,1462.81,0.0004
2023,10,October,298.27,25.12,96435.47,0.0103,50.13,1.47,1472.85,0.0009
2023,11,November,295.33,22.18,96687.3,0.008,46.45,1.03,1509.88,0.0006
2023,12,December,292.17,19.02,96782.72,0.0069,48.91,1.49,1537.9,0.0006
2024,1,January,291.09,17.94,96767.29,0.0058,43.85,2.22,1555.18,0.0006
2024,2,February,294.88,21.73,96724.79,0.0059,35.37,1.71,1531.59,0.0006
2024,3,March,300.14,26.99,96450.78,0.0054,23.34,1.15,1495.02,0.0005
2024,4,April,305.13,31.98,96070.34,0.0074,24.14,1.09,1437.76,0.001
2024,5,May,308.8,35.65,95626.61,0.0082,21.66,1.49,1415.95,0.001
2024,6,June,306.57,33.42,95442.16,0.0144,42.95,2.22,1402.31,0.0012
2024,7,July,301.78,28.63,95205.35,0.0191,74.29,2.31,1424.92,0.0003
2024,8,August,299.14,25.99,95656.71,0.0186,84.2,1.46,1438.48,0.0004
2024,9,September,299.09,25.94,95720.24,0.0181,82.5,1.3,1460.29,0.0003
2024,10,October,299.1,25.95,96282.04,0.0129,59.36,1.36,1468.45,0.0014
2024,11,November,294.88,21.73,96620.76,0.007,41.77,1.33,1505.24,0.0006
2024,12,December,291.08,17.93,96635.04,0.005,37.34,1.35,1537.54,0.001
