Year,Month,Month_Name,Mean_Wind_Speed_ms,Max_Wind_Speed_ms,Min_Wind_Speed_ms,Prevailing_Wind_Direction_deg,High_Wind_Days,Days_In_Month
2015,1,January,1.2,2.53,0.01,45,0,31
2015,2,February,1.21,1.89,0.39,45,0,28
2015,3,March,1.01,2.25,0.44,90,0,31
2015,4,April,1.26,2.96,0.41,225,0,30
2015,5,May,1.86,3.93,0.16,225,0,31
2015,6,June,2.03,4.36,0.52,225,0,30
2015,7,July,2.87,4.38,0.24,225,0,31
2015,8,August,2.06,3.11,0.46,225,0,31
2015,9,September,1.67,3.2,0.33,225,0,30
2015,10,October,0.82,1.92,0.03,45,0,31
2015,11,November,0.99,2.08,0.03,45,0,30
2015,12,December,1.23,1.98,0.38,0,0,31
2016,1,January,1.02,1.64,0.26,90,0,31
2016,2,February,1.42,2.24,0.3,45,0,29
2016,3,March,1.02,1.83,0.37,90,0,31
2016,4,April,1.69,3.62,0.53,270,0,30
2016,5,May,2.11,4.07,1.09,225,0,31
2016,6,June,1.83,3.79,0.4,225,0,30
2016,7,July,2.37,3.84,0.65,225,0,31
2016,8,August,2.12,3.62,0.62,225,0,31
2016,9,September,1.6,3.18,0.24,270,0,30
2016,10,October,1.22,2.11,0.13,225,0,31
2016,11,November,0.81,1.55,0.3,270,0,30
2016,12,December,0.94,1.96,0.4,45,0,31
2017,1,January,1.26,2.03,0.38,0,0,31
2017,2,February,1.33,2.58,0.09,0,0,28
2017,3,March,0.99,1.84,0.24,0,0,31
2017,4,April,1.83,3.32,0.16,225,0,30
2017,5,May,1.56,3.09,0.46,225,0,31
2017,6,June,2.18,3.65,0.72,225,0,30
2017,7,July,2.67,4.14,0.6,225,0,31
2017,8,August,2.27,4.07,0.8,225,0,31
2017,9,September,1.22,2.71,0.32,270,0,30
2017,10,October,1.04,1.82,0.49,45,0,31
2017,11,November,1.15,1.76,0.31,45,0,30
2017,12,December,1.31,1.95,0.61,0,0,31
2018,1,January,0.94,1.86,0.26,45,0,31
2018,2,February,0.99,1.77,0.11,45,0,28
2018,3,March,1.1,1.92,0.29,270,0,31
2018,4,April,1.07,2.1,0.32,225,0,30
2018,5,May,1.21,2.63,0.16,225,0,31
2018,6,June,2.5,4.96,0.74,225,0,30
2018,7,July,2.57,4.03,0.43,225,0,31
2018,8,August,2.6,4.15,0.94,225,0,31
2018,9,September,2.09,3.32,0.62,225,0,30
2018,10,October,0.91,2.03,0.14,225,0,31
2018,11,November,1.02,1.65,0.31,90,0,30
2018,12,December,1.2,2.13,0.26,45,0,31
2019,1,January,1.28,2.1,0.39,0,0,31
2019,2,February,1.33,2.1,0.14,0,0,28
2019,3,March,1.26,2.42,0.32,0,0,31
2019,4,April,0.91,1.86,0.15,270,0,30
2019,5,May,1.78,3.58,0.62,270,0,31
2019,6,June,1.99,3.3,0.46,225,0,30
2019,7,July,2.5,4.36,0.17,225,0,31
2019,8,August,2.07,3.85,0.62,225,0,31
2019,9,September,1.41,2.39,0.57,225,0,30
2019,10,October,0.84,1.98,0.01,45,0,31
2019,11,November,0.99,1.57,0.22,90,0,30
2019,12,December,1.34,1.8,0.61,45,0,31
2020,1,January,1.22,2.18,0.21,0,0,31
2020,2,February,1.34,2.14,0.37,45,0,29
2020,3,March,1.07,1.85,0.11,0,0,31
2020,4,April,1.02,1.9,0.15,90,0,30
2020,5,May,1.43,3.62,0.46,225,0,31
2020,6,June,1.94,3.66,0.32,225,0,30
2020,7,July,1.95,3.76,0.49,225,0,31
2020,8,August,2.23,3.43,1.07,225,0,31
2020,9,September,1.28,2.34,0.23,225,0,30
2020,10,October,1.09,2.43,0.33,0,0,31
2020,11,November,1.14,2.19,0.05,45,0,30
2020,12,December,1.0,2.01,0.25,0,0,31
2021,1,January,1.29,1.92,0.25,0,0,31
2021,2,February,1.08,2.1,0.06,45,0,28
2021,3,March,1.1,3.11,0.21,225,0,31
2021,4,April,1.2,2.46,0.16,225,0,30
2021,5,May,1.47,2.72,0.32,225,0,31
2021,6,June,2.41,3.68,0.77,225,0,30
2021,7,July,2.44,4.22,0.47,225,0,31
2021,8,August,2.32,4.24,0.73,225,0,31
2021,9,September,1.39,2.87,0.29,225,0,30
2021,10,October,1.03,2.21,0.2,0,0,31
2021,11,November,1.34,2.01,0.39,45,0,30
2021,12,December,1.32,2.09,0.32,0,0,31
2022,1,January,1.2,1.89,0.33,0,0,31
2022,2,February,1.22,2.19,0.25,90,0,28
2022,3,March,1.1,2.0,0.19,225,0,31
2022,4,April,1.43,2.47,0.3,225,0,30
2022,5,May,1.96,4.15,0.2,225,0,31
2022,6,June,2.37,3.65,0.56,225,0,30
2022,7,July,1.46,3.06,0.23,225,0,31
2022,8,August,1.86,3.4,0.26,270,0,31
2022,9,September,1.72,3.37,0.72,225,0,30
2022,10,October,1.14,2.37,0.48,45,0,31
2022,11,November,0.8,1.27,0.15,0,0,30
2022,12,December,1.02,1.99,0.43,45,0,31
2023,1,January,1.25,2.18,0.25,45,0,31
2023,2,February,1.14,2.07,0.08,270,0,28
2023,3,March,0.95,1.56,0.16,45,0,31
2023,4,April,1.26,2.47,0.1,270,0,30
2023,5,May,1.55,2.92,0.26,225,0,31
2023,6,June,2.4,3.92,0.83,270,0,30
2023,7,July,1.86,3.39,0.46,225,0,31
2023,8,August,2.81,4.18,0.44,225,0,31
2023,9,September,1.49,3.06,0.42,270,0,30
2023,10,October,1.11,2.12,0.09,225,0,31
2023,11,November,1.19,1.84,0.27,45,0,30
2023,12,December,1.24,2.35,0.1,45,0,31
2024,1,January,1.25,1.7,0.52,45,0,31
2024,2,February,1.4,2.88,0.43,0,0,29
2024,3,March,1.13,2.15,0.04,45,0,31
2024,4,April,1.54,2.64,0.29,270,0,30
2024,5,May,1.66,3.81,0.05,225,0,31
2024,6,June,2.33,3.67,0.42,225,0,30
2024,7,July,2.05,4.09,0.26,225,0,31
2024,8,August,1.93,3.56,0.34,225,0,31
2024,9,September,1.58,3.91,0.32,225,0,30
2024,10,October,0.96,2.36,0.12,45,0,31
2024,11,November,0.81,1.88,0.08,90,0,30
2024,12,December,1.23,1.98,0.61,45,0,29
